PLAYER_NAME,Anatomical sub-areas,TEAM_ABBREVIATION (groups),Average of recovery_time, Sum of team_losses ,Count of SEASON_ID, Avg Cost per Season , Average of salaries INF ,Avg Cost per Seasons
Rodney Hood,Heel area,POR,392," $5,377,486.70 ",1," $5,377,486.70 "," $6,964,286.00 "," $5,377,486.70 "
P.J. Tucker,Ankle area,HOU,239," $5,370,097.80 ",1," $5,370,097.80 "," $9,205,882.00 "," $5,370,097.80 "
D'Angelo Russell,"Hand, Thumb & Fingers area",GSW,18," $5,357,142.90 ",1," $5,357,142.90 "," $34,821,429.00 "," $5,357,142.90 "
Eddie Robinson,Toes area,CHI,31.5," $5,344,827.60 ",1," $5,344,827.60 "," $14,137,931.00 "," $5,344,827.60 "
Donovan Mitchell,"Hand, Thumb & Fingers area",UTA,10.5," $5,328,136.70 ",1," $5,328,136.70 "," $33,608,247.00 "," $5,328,136.70 "
Chris Paul,Heel area,PHX,14," $5,320,917.80 ",1," $5,320,917.80 "," $30,927,835.00 "," $5,320,917.80 "
Marko Jaric,Ankle area,LAC,122," $5,319,149.10 ",1," $5,319,149.10 "," $10,416,667.00 "," $5,319,149.10 "
Amar'e Stoudemire,Neck,NYK,25," $5,313,285.10 ",1," $5,313,285.10 "," $26,945,946.00 "," $5,313,285.10 "
Jamal Murray,Knee area,DEN,40.6," $21,236,605.60 ",2," $10,618,302.80 "," $43,768,441.40 "," $5,309,151.40 "
Michael Porter Jr.,Thoracolumbar area,DEN,89.25," $47,769,609.90 ",3," $15,923,203.30 "," $36,352,290.30 "," $5,307,734.43 "
Ronnie Brewer,"Hand, Thumb & Fingers area",MEM & VAN,513," $5,299,707.60 ",1," $5,299,707.60 "," $5,787,037.00 "," $5,299,707.60 "
Ben Simmons,Thoracolumbar area,BKN & NJN,0.5," $5,298,489.50 ",1," $5,298,489.50 "," $35,051,546.00 "," $5,298,489.50 "
Shaquille O'Neal,Calf area,LAL,14.5," $5,293,828.70 ",1," $5,293,828.70 "," $34,409,886.40 "," $5,293,828.70 "
Kerry Kittles,Thoracolumbar area,LAC,0.5," $5,286,269.70 ",1," $5,286,269.70 "," $12,749,238.60 "," $5,286,269.70 "
Carl Landry,Knee area,GSW,161," $5,286,006.30 ",1," $5,286,006.30 "," $6,818,182.00 "," $5,286,006.30 "
Andrea Bargnani,Elbow area,TOR,218," $21,110,358.90 ",2," $10,555,179.40 "," $13,100,934.30 "," $5,277,589.70 "
Jorge Garbajosa,Foot area,TOR,10," $5,273,833.70 ",1," $5,273,833.70 "," $5,882,353.00 "," $5,273,833.70 "
P.J. Brown,Unclassified,NOH & NOK & NOP,-1," $5,263,575.70 ",1," $5,263,575.70 "," $12,686,567.00 "," $5,263,575.70 "
Hedo Turkoglu,Wrist area,SAS,256," $5,253,456.30 ",1," $5,253,456.30 "," $10,215,054.00 "," $5,253,456.30 "
Andris Biedrins,Unclassified,UTA,34," $5,237,039.20 ",1," $5,237,039.20 "," $13,419,913.00 "," $5,237,039.20 "
Rudy Gobert,Calf area,UTA,21," $5,234,933.60 ",1," $5,234,933.60 "," $46,067,416.00 "," $5,234,933.60 "
Mo Williams,Unclassified,CLE,323," $5,233,739.70 ",1," $5,233,739.70 "," $11,921,296.00 "," $5,233,739.70 "
Paul George,Shoulder area,OKC & SEA,27.67," $20,894,949.50 ",2," $10,447,474.70 "," $41,071,309.30 "," $5,223,737.35 "
Klay Thompson,Knee area,GSW,106.6," $46,964,387.90 ",3," $15,654,796.00 "," $34,353,528.20 "," $5,218,265.33 "
Carmelo Anthony,Wrist area,DEN,24," $5,214,118.20 ",1," $5,214,118.20 "," $29,279,279.00 "," $5,214,118.20 "
Jaren Jackson Jr.,Foot area,MEM & VAN,46.67," $5,212,921.70 ",1," $5,212,921.70 "," $26,984,536.00 "," $5,212,921.70 "
Zach Collins,Shoulder area,POR,277," $5,207,956.30 ",1," $5,207,956.30 "," $6,428,571.00 "," $5,207,956.30 "
Tristan Thompson,Thigh area,SAC,-1," $5,206,905.90 ",1," $5,206,905.90 "," $10,674,157.00 "," $5,206,905.90 "
Tony Snell,Hip area,MIL,66," $5,206,540.40 ",1," $5,206,540.40 "," $13,095,238.00 "," $5,206,540.40 "
Kristaps Porzingis,Knee area,NYK,97.2," $20,780,859.50 ",2," $10,390,429.70 "," $17,884,851.50 "," $5,195,214.85 "
Devonte' Graham,Foot area,CHA & CHH,67," $5,184,982.20 ",1," $5,184,982.20 "," $13,286,517.00 "," $5,184,982.20 "
Steve Francis,Thigh area,NYK,151.5," $5,178,443.20 ",1," $5,178,443.20 "," $7,720,588.00 "," $5,178,443.20 "
Shaun Livingston,Hip area,BKN & NJN,131," $5,169,898.00 ",1," $5,169,898.00 "," $6,837,607.00 "," $5,169,898.00 "
Jerry Stackhouse,Heel area,DAL,96," $5,166,870.70 ",1," $5,166,870.70 "," $10,563,380.00 "," $5,166,870.70 "
Eddie Jones,Shoulder area,MIA,122.5," $5,166,859.60 ",1," $5,166,859.60 "," $13,308,577.80 "," $5,166,859.60 "
Pau Gasol,Foot area,LAL,44," $5,166,117.20 ",1," $5,166,117.20 "," $21,156,480.00 "," $5,166,117.20 "
Stephen Curry,"Hand, Thumb & Fingers area",GSW,33," $46,478,323.90 ",3," $15,492,774.60 "," $50,797,629.00 "," $5,164,258.20 "
Brandon Knight,Ankle area,HOU,58," $5,158,730.30 ",1," $5,158,730.30 "," $16,666,667.00 "," $5,158,730.30 "
Nikola Mirotic,Calf area,NOH & NOK & NOP,55," $5,157,214.10 ",1," $5,157,214.10 "," $16,265,060.00 "," $5,157,214.10 "
Stephon Marbury,Knee area,NYK,149.5," $20,604,011.20 ",2," $10,302,005.60 "," $29,022,854.50 "," $5,151,002.80 "
Andrea Bargnani,Unclassified,NYK,129.5," $5,149,121.70 ",1," $5,149,121.70 "," $12,418,470.00 "," $5,149,121.70 "
Keon Clark,Foot area,UTA,109," $5,134,352.90 ",1," $5,134,352.90 "," $7,796,610.00 "," $5,134,352.90 "
Damian Lillard,Abdominal area,POR,55.67," $46,163,380.60 ",3," $15,387,793.50 "," $51,620,060.20 "," $5,129,264.50 "
Anthony Bennett,Ankle area,CLE,157," $5,110,608.10 ",1," $5,110,608.10 "," $6,858,974.00 "," $5,110,608.10 "
Nikola Vucevic,"Hand, Thumb & Fingers area",ORL,61," $5,081,300.90 ",1," $5,081,300.90 "," $16,666,667.00 "," $5,081,300.90 "
Nerlens Noel,Foot area,NYK,268," $5,079,017.10 ",1," $5,079,017.10 "," $10,411,985.00 "," $5,079,017.10 "
Vlade Divac,Thoracolumbar area,LAL,104," $5,064,909.80 ",1," $5,064,909.80 "," $8,306,452.00 "," $5,064,909.80 "
Kevin Love,Foot area,CLE,55.5," $20,211,090.20 ",2," $10,105,545.10 "," $27,551,745.50 "," $5,052,772.55 "
Alan Henderson,Thoracolumbar area,ATL,44," $5,038,238.20 ",1," $5,038,238.20 "," $9,389,443.90 "," $5,038,238.20 "
Mike Dunleavy,Thoracolumbar area,MIL,85.5," $5,028,142.50 ",1," $5,028,142.50 "," $6,153,846.00 "," $5,028,142.50 "
Keith Van Horn,Knee area,MIL,20," $5,023,472.20 ",1," $5,023,472.20 "," $19,615,462.70 "," $5,023,472.20 "
LeBron James,Abdominal area,LAL,15," $5,008,392.70 ",1," $5,008,392.70 "," $45,632,022.00 "," $5,008,392.70 "
Rasho Nesterovic,Unclassified,SAS,-1," $4,986,239.30 ",1," $4,986,239.30 "," $9,859,155.00 "," $4,986,239.30 "
Jonathon Simmons,Abdominal area,ORL,-1," $4,985,459.20 ",1," $4,985,459.20 "," $12,048,193.00 "," $4,985,459.20 "
Jeremy Lin,Knee area,LAL,266," $4,970,815.20 ",1," $4,970,815.20 "," $10,726,496.00 "," $4,970,815.20 "
Jeremy Lin,Thigh area,BKN & NJN,49.5," $4,970,669.70 ",1," $4,970,669.70 "," $8,860,759.00 "," $4,970,669.70 "
Keith Van Horn,"Hand, Thumb & Fingers area",MIL,32," $4,961,192.30 ",1," $4,961,192.30 "," $20,553,511.10 "," $4,961,192.30 "
Daniel Theis,Toes area,BOS,105," $4,960,780.40 ",1," $4,960,780.40 "," $10,112,360.00 "," $4,960,780.40 "
Tim Thomas,Heel area,CHI,-1," $4,953,861.00 ",1," $4,953,861.00 "," $8,450,704.00 "," $4,953,861.00 "
Alex Caruso,Wrist area,LAL,44," $4,943,134.90 ",1," $4,943,134.90 "," $10,393,258.00 "," $4,943,134.90 "
Terrence Ross,Heel area,TOR,246," $4,941,635.90 ",1," $4,941,635.90 "," $10,690,069.40 "," $4,941,635.90 "
Aaron Gordon,Unclassified,ORL,46," $19,764,894.30 ",2," $9,882,447.20 "," $22,722,862.70 "," $4,941,223.60 "
Jon Barry,Shoulder area,SAC,230," $4,918,033.50 ",1," $4,918,033.50 "," $3,278,689.00 "," $4,918,033.50 "
Hakeem Olajuwon,Thoracolumbar area,TOR,13.5," $4,915,254.00 ",1," $4,915,254.00 "," $4,915,254.00 "," $4,915,254.00 "
Lonzo Ball,Ankle area,LAL,293," $4,912,209.90 ",1," $4,912,209.90 "," $9,367,470.00 "," $4,912,209.90 "
Chucky Atkins,Abdominal area,MEM & VAN,166," $4,912,123.20 ",1," $4,912,123.20 "," $4,852,941.00 "," $4,912,123.20 "
Ike Austin,Knee area,MEM & VAN,7," $4,910,099.00 ",1," $4,910,099.00 "," $9,820,198.00 "," $4,910,099.00 "
Andrea Bargnani,Thigh area,TOR,67," $4,909,627.70 ",1," $4,909,627.70 "," $12,418,470.00 "," $4,909,627.70 "
Jahidi White,Shoulder area,CHA & CHH,7.67," $4,908,103.70 ",1," $4,908,103.70 "," $7,891,460.80 "," $4,908,103.70 "
Jaylen Brown,Wrist area,BOS,167," $4,904,507.20 ",1," $4,904,507.20 "," $31,470,588.00 "," $4,904,507.20 "
Amar'e Stoudemire,Knee area,PHX,32.57," $19,573,402.60 ",2," $9,786,701.30 "," $22,429,096.60 "," $4,893,350.65 "
Marcus Morris Sr.,Unclassified,NYK,39," $4,889,228.30 ",1," $4,889,228.30 "," $18,823,529.00 "," $4,889,228.30 "
Kawhi Leonard,Foot area,LAC,4.67," $4,887,308.80 ",1," $4,887,308.80 "," $40,431,373.00 "," $4,887,308.80 "
Chris Kaman,Cranial area,NOH & NOK & NOP,297," $4,878,048.90 ",1," $4,878,048.90 "," $10,526,316.00 "," $4,878,048.90 "
Nene,Thigh area,HOU,84.5," $19,471,083.90 ",2," $9,735,541.90 "," $18,108,108.00 "," $4,867,770.95 "
Ian Mahinmi,Knee area,IND,60.33," $19,426,397.90 ",2," $9,713,198.90 "," $15,211,511.70 "," $4,856,599.45 "
Hamidou Diallo,"Hand, Thumb & Fingers area",DET,326," $4,845,163.40 ",1," $4,845,163.40 "," $5,842,697.00 "," $4,845,163.40 "
Dwight Howard,Knee area,HOU,10," $4,843,304.80 ",1," $4,843,304.80 "," $28,205,128.00 "," $4,843,304.80 "
Nene,"Hand, Thumb & Fingers area",DEN,48," $4,842,866.10 ",1," $4,842,866.10 "," $18,108,108.00 "," $4,842,866.10 "
Kevin Durant,Foot area,OKC & SEA,131.5," $4,840,525.30 ",1," $4,840,525.30 "," $11,025,641.00 "," $4,840,525.30 "
Deron Williams,Ankle area,BKN & NJN,75.33," $4,835,589.90 ",1," $4,835,589.90 "," $12,987,013.00 "," $4,835,589.90 "
Jameer Nelson,Shoulder area,ORL,122," $4,831,206.90 ",1," $4,831,206.90 "," $9,144,784.50 "," $4,831,206.90 "
Luc Mbah a Moute,Shoulder area,PHI,163.5," $4,827,236.10 ",1," $4,827,236.10 "," $6,089,744.00 "," $4,827,236.10 "
Markelle Fultz,Toes area,ORL,29," $4,819,378.20 ",1," $4,819,378.20 "," $17,182,131.00 "," $4,819,378.20 "
Brandon Knight,Hip area,PHX,49," $4,815,509.70 ",1," $4,815,509.70 "," $17,948,718.00 "," $4,815,509.70 "
Zach Randolph,Knee area,LAC,36," $4,809,343.90 ",1," $4,809,343.90 "," $19,718,310.00 "," $4,809,343.90 "
Jeremy Lamb,Abdominal area,CHA & CHH,66," $4,807,692.30 ",1," $4,807,692.30 "," $12,500,000.00 "," $4,807,692.30 "
Jamal Mashburn,Knee area,PHI,121.5," $19,222,120.00 ",2," $9,611,060.00 "," $14,157,006.00 "," $4,805,530.00 "
D.J. Augustin,Calf area,ORL,88," $4,803,921.50 ",1," $4,803,921.50 "," $8,235,294.00 "," $4,803,921.50 "
Meyers Leonard,Shoulder area,MIA,64," $4,801,857.80 ",1," $4,801,857.80 "," $11,058,824.00 "," $4,801,857.80 "
Marvin Bagley III,Abdominal area,SAC,203," $4,800,653.70 ",1," $4,800,653.70 "," $13,294,118.00 "," $4,800,653.70 "
Tracy McGrady,Shoulder area,HOU,103," $4,796,883.90 ",1," $4,796,883.90 "," $23,451,432.60 "," $4,796,883.90 "
Anthony Bennett,Thoracolumbar area,CLE,-1," $4,794,622.60 ",1," $4,794,622.60 "," $6,858,974.00 "," $4,794,622.60 "
George Hill,Thoracolumbar area,UTA,199," $4,792,247.40 ",1," $4,792,247.40 "," $23,456,790.00 "," $4,792,247.40 "
Jared Jeffries,Wrist area,WAS,110," $4,790,003.50 ",1," $4,790,003.50 "," $8,955,224.00 "," $4,790,003.50 "
Anthony Morrow,Hip area,ATL,169," $4,784,689.10 ",1," $4,784,689.10 "," $5,263,158.00 "," $4,784,689.10 "
Paul George,Knee area,LAC,2.5," $4,784,334.60 ",1," $4,784,334.60 "," $24,484,536.00 "," $4,784,334.60 "
Maxi Kleber,Thigh area,DAL,39," $4,771,498.70 ",1," $4,771,498.70 "," $10,296,392.00 "," $4,771,498.70 "
Jerome Williams,Thigh area,CHI,302," $4,771,309.50 ",1," $4,771,309.50 "," $8,324,412.30 "," $4,771,309.50 "
Eric Gordon,Shoulder area,NOH & NOK & NOP,41," $4,755,515.90 ",1," $4,755,515.90 "," $18,589,744.00 "," $4,755,515.90 "
Tyreke Evans,Toes area,SAC,245," $4,754,554.00 ",1," $4,754,554.00 "," $13,924,051.00 "," $4,754,554.00 "
Cam Reddish,Abdominal area,ATL,133," $4,749,744.60 ",1," $4,749,744.60 "," $6,741,573.00 "," $4,749,744.60 "
Bojan Bogdanovic,Heel area,IND,-1," $4,749,182.70 ",1," $4,749,182.70 "," $19,471,649.00 "," $4,749,182.70 "
Trevor Ariza,Unclassified,NOH & NOK & NOP,62," $4,733,824.60 ",1," $4,733,824.60 "," $9,189,189.00 "," $4,733,824.60 "
Andrew Wiggins,Thigh area,GSW,33," $4,731,416.30 ",1," $4,731,416.30 "," $28,092,784.00 "," $4,731,416.30 "
Rodney Rogers,Knee area,BKN & NJN,-1," $4,709,302.30 ",1," $4,709,302.30 "," $5,000,000.00 "," $4,709,302.30 "
Nick Young,Knee area,LAL,301," $4,706,066.50 ",1," $4,706,066.50 "," $6,891,026.00 "," $4,706,066.50 "
Elfrid Payton,Unclassified,NOH & NOK & NOP,-1," $4,705,882.50 ",1," $4,705,882.50 "," $7,529,412.00 "," $4,705,882.50 "
Cameron Johnson,Knee area,PHX,37," $4,704,602.80 ",1," $4,704,602.80 "," $6,629,213.00 "," $4,704,602.80 "
Blake Griffin,Unclassified,LAC,28.67," $18,810,100.50 ",2," $9,405,050.20 "," $35,750,180.00 "," $4,702,525.10 "
Danny Fortson,Unclassified,GSW,149.5," $4,694,100.50 ",1," $4,694,100.50 "," $7,547,377.20 "," $4,694,100.50 "
Michael Doleac,Calf area,NYK,350," $4,687,500.00 ",1," $4,687,500.00 "," $4,687,500.00 "," $4,687,500.00 "
Nene,Calf area,HOU,24," $4,673,060.10 ",1," $4,673,060.10 "," $18,108,108.00 "," $4,673,060.10 "
Kevin Garnett,Knee area,BOS,64.2," $18,673,044.60 ",2," $9,336,522.30 "," $23,943,662.00 "," $4,668,261.15 "
Alan Williams,Ankle area,PHX,112," $4,662,552.50 ",1," $4,662,552.50 "," $6,827,309.00 "," $4,662,552.50 "
Jermaine O'Neal,Knee area,TOR,7," $4,659,665.30 ",1," $4,659,665.30 "," $25,472,837.00 "," $4,659,665.30 "
Martell Webster,Thoracolumbar area,POR,61.5," $4,655,934.00 ",1," $4,655,934.00 "," $6,944,444.00 "," $4,655,934.00 "
Otto Porter Jr.,Foot area,WAS,161," $41,802,625.10 ",3," $13,934,208.40 "," $32,378,870.50 "," $4,644,736.13 "
George Hill,Unclassified,UTA,40.75," $18,561,199.80 ",2," $9,280,599.90 "," $16,791,686.00 "," $4,640,299.95 "
Alonzo Mourning,Other facial areas,MIA,199," $4,625,218.90 ",1," $4,625,218.90 "," $27,090,567.70 "," $4,625,218.90 "
Chris Andersen,Knee area,MEM & VAN,-1," $4,621,212.40 ",1," $4,621,212.40 "," $6,666,667.00 "," $4,621,212.40 "
Antonio Davis,Knee area,CHI,278," $4,606,157.40 ",1," $4,606,157.40 "," $10,491,803.00 "," $4,606,157.40 "
Vince Carter,Cranial area,ORL,38," $4,603,061.80 ",1," $4,603,061.80 "," $21,319,444.00 "," $4,603,061.80 "
Derrick Favors,Unclassified,NOH & NOK & NOP,17.75," $4,598,229.70 ",1," $4,598,229.70 "," $10,936,330.00 "," $4,598,229.70 "
Jose Calderon,Calf area,DAL,87," $4,594,017.20 ",1," $4,594,017.20 "," $9,294,872.00 "," $4,594,017.20 "
Eric Gordon,"Hand, Thumb & Fingers area",NOH & NOK & NOP,88.25," $18,374,971.60 ",2," $9,187,485.80 "," $18,712,044.80 "," $4,593,742.90 "
Derrick Rose,Abdominal area,CHI,25," $4,587,087.00 ",1," $4,587,087.00 "," $25,405,405.00 "," $4,587,087.00 "
Dennis Smith Jr.,Knee area,NYK,248," $4,582,560.10 ",1," $4,582,560.10 "," $6,785,714.00 "," $4,582,560.10 "
Marc Gasol,Unclassified,MEM & VAN,41.75," $18,314,886.40 ",2," $9,157,443.20 "," $19,297,930.30 "," $4,578,721.60 "
Kemba Walker,Knee area,NYK,6," $18,312,169.40 ",2," $9,156,084.70 "," $24,121,491.30 "," $4,578,042.35 "
Joel Embiid,"Hand, Thumb & Fingers area",PHI,19," $4,576,376.00 ",1," $4,576,376.00 "," $35,238,095.00 "," $4,576,376.00 "
Mike Miller,"Hand, Thumb & Fingers area",WAS,117," $4,573,170.40 ",1," $4,573,170.40 "," $6,944,444.00 "," $4,573,170.40 "
LaMarcus Aldridge,"Hand, Thumb & Fingers area",POR,39.2," $4,569,426.00 ",1," $4,569,426.00 "," $17,284,350.60 "," $4,569,426.00 "
Marcus Smart,Calf area,BOS,24.5," $4,568,372.90 ",1," $4,568,372.90 "," $15,294,118.00 "," $4,568,372.90 "
Chris Mihm,Foot area,LAL,353," $4,567,495.00 ",1," $4,567,495.00 "," $4,967,150.80 "," $4,567,495.00 "
Peja Stojakovic,Thoracolumbar area,NOH & NOK & NOP,20," $4,558,847.30 ",1," $4,558,847.30 "," $18,028,169.00 "," $4,558,847.30 "
Drew Gooden,Thigh area,ORL,328," $4,545,449.40 ",1," $4,545,449.40 "," $5,324,669.30 "," $4,545,449.40 "
Mo Williams,"Hand, Thumb & Fingers area",UTA,73," $4,545,090.00 ",1," $4,545,090.00 "," $11,293,860.00 "," $4,545,090.00 "
Bobby Simmons,Shoulder area,LAC,62," $4,531,250.00 ",1," $4,531,250.00 "," $14,687,500.00 "," $4,531,250.00 "
Larry Sanders,"Hand, Thumb & Fingers area",MIL,51," $4,529,616.60 ",1," $4,529,616.60 "," $14,285,714.00 "," $4,529,616.60 "
LaMarcus Aldridge,Other facial areas,SAS,125.5," $18,108,326.90 ",2," $9,054,163.40 "," $25,658,228.00 "," $4,527,081.70 "
Marquis Daniels,"Hand, Thumb & Fingers area",DAL,171," $4,521,713.50 ",1," $4,521,713.50 "," $5,938,967.00 "," $4,521,713.50 "
Carl Landry,Hip area,GSW,136," $4,519,918.40 ",1," $4,519,918.40 "," $6,818,182.00 "," $4,519,918.40 "
Kirk Hinrich,Calf area,WAS,70," $4,505,419.90 ",1," $4,505,419.90 "," $13,194,444.00 "," $4,505,419.90 "
Pau Gasol,Unclassified,CHI,25," $4,497,506.70 ",1," $4,497,506.70 "," $14,135,021.00 "," $4,497,506.70 "
Stephon Marbury,Toes area,NYK,220," $4,495,813.60 ",1," $4,495,813.60 "," $28,358,209.00 "," $4,495,813.60 "
James Jones,Unclassified,POR,60.5," $4,491,037.00 ",1," $4,491,037.00 "," $6,478,873.00 "," $4,491,037.00 "
Marvin Bagley III,Knee area,SAC,75," $4,488,590.30 ",1," $4,488,590.30 "," $12,886,598.00 "," $4,488,590.30 "
Kwame Brown,Shoulder area,WAS,77," $4,483,397.00 ",1," $4,483,397.00 "," $12,437,811.00 "," $4,483,397.00 "
Michael Doleac,Ankle area,NYK,379," $4,477,612.00 ",1," $4,477,612.00 "," $4,477,612.00 "," $4,477,612.00 "
Aaron Holiday,Ankle area,IND,349," $4,476,326.80 ",1," $4,476,326.80 "," $4,705,882.00 "," $4,476,326.80 "
LaMarcus Aldridge,Hip area,POR,228," $4,474,058.90 ",1," $4,474,058.90 "," $14,061,327.90 "," $4,474,058.90 "
Spencer Hawes,Knee area,CHA & CHH,286," $4,472,774.50 ",1," $4,472,774.50 "," $7,371,795.00 "," $4,472,774.50 "
Mookie Blaylock,Calf area,GSW,-1," $4,470,781.40 ",1," $4,470,781.40 "," $7,800,086.70 "," $4,470,781.40 "
Dwight Howard,Knee area,ATL,252," $4,446,517.70 ",1," $4,446,517.70 "," $5,416,667.00 "," $4,446,517.70 "
Evan Fournier,Thoracolumbar area,ORL,14.5," $4,444,444.40 ",1," $4,444,444.40 "," $20,000,000.00 "," $4,444,444.40 "
Speedy Claxton,Knee area,ATL,52.4," $4,436,658.10 ",1," $4,436,658.10 "," $9,328,358.00 "," $4,436,658.10 "
Alan Williams,Knee area,PHX,125.67," $4,436,414.60 ",1," $4,436,414.60 "," $4,547,325.00 "," $4,436,414.60 "
Danny Green,Unclassified,CLE,335," $4,414,261.50 ",1," $4,414,261.50 "," $5,263,158.00 "," $4,414,261.50 "
Glenn Robinson,Knee area,PHI,47," $17,636,332.00 ",2," $8,818,166.00 "," $14,917,902.90 "," $4,409,083.00 "
Courtney Lee,Neck,NYK,47," $4,407,875.30 ",1," $4,407,875.30 "," $14,457,831.00 "," $4,407,875.30 "
Caron Butler,"Hand, Thumb & Fingers area",LAL,294," $17,619,440.90 ",2," $8,809,720.50 "," $14,053,171.50 "," $4,404,860.25 "
Marcus Morris Sr.,Knee area,NYK,34," $4,400,305.50 ",1," $4,400,305.50 "," $18,823,529.00 "," $4,400,305.50 "
Anfernee Simons,Foot area,POR,1," $4,400,301.80 ",1," $4,400,301.80 "," $25,773,196.00 "," $4,400,301.80 "
Milos Teodosic,Knee area,LAC,-1," $4,398,959.20 ",1," $4,398,959.20 "," $7,590,361.00 "," $4,398,959.20 "
Dwyane Wade,Elbow area,CHI,24," $4,394,418.80 ",1," $4,394,418.80 "," $29,746,835.00 "," $4,394,418.80 "
Aaron Brooks,Knee area,CHI,214.5," $4,387,226.80 ",1," $4,387,226.80 "," $3,164,557.00 "," $4,387,226.80 "
Seth Curry,Foot area,DAL,202," $4,381,210.80 ",1," $4,381,210.80 "," $3,703,704.00 "," $4,381,210.80 "
Joe Johnson,Unclassified,UTA,-1," $4,380,724.80 ",1," $4,380,724.80 "," $13,580,247.00 "," $4,380,724.80 "
Josh McRoberts,Unclassified,MIA,329," $4,377,735.80 ",1," $4,377,735.80 "," $5,608,974.00 "," $4,377,735.80 "
Kelly Olynyk,Unclassified,MIA,43," $4,376,161.00 ",1," $4,376,161.00 "," $15,117,647.00 "," $4,376,161.00 "
Antoine Walker,Unclassified,MIN,95.67," $17,503,966.10 ",2," $8,751,983.10 "," $12,624,275.30 "," $4,375,991.55 "
Ish Smith,Calf area,WAS,-1," $4,372,642.90 ",1," $4,372,642.90 "," $4,845,361.00 "," $4,372,642.90 "
Al Horford,Thoracolumbar area,PHI,29.2," $17,442,873.20 ",2," $8,721,436.60 "," $26,051,199.20 "," $4,360,718.30 "
RJ Barrett,Knee area,NYK,264," $4,360,098.50 ",1," $4,360,098.50 "," $9,662,921.00 "," $4,360,098.50 "
Andrew Bogut,"Hand, Thumb & Fingers area",MIL,214," $4,359,867.00 ",1," $4,359,867.00 "," $20,422,535.00 "," $4,359,867.00 "
Jimmy Butler,Wrist area,MIN,70," $4,354,393.10 ",1," $4,354,393.10 "," $11,518,072.00 "," $4,354,393.10 "
Travis Outlaw,Foot area,POR,70.5," $4,353,393.20 ",1," $4,353,393.20 "," $5,633,803.00 "," $4,353,393.20 "
Andrew Wiggins,Thigh area,MIN,5," $4,349,103.80 ",1," $4,349,103.80 "," $35,662,651.00 "," $4,349,103.80 "
Blake Griffin,Elbow area,LAC,17.5," $4,313,568.30 ",1," $4,313,568.30 "," $24,358,974.00 "," $4,313,568.30 "
DeMarcus Cousins,Knee area,NOH & NOK & NOP,242.33," $17,203,062.20 ",2," $8,601,531.10 "," $14,469,057.70 "," $4,300,765.55 "
Otto Porter Jr.,Foot area,ORL,102," $17,176,953.80 ",2," $8,588,476.90 "," $12,606,576.30 "," $4,294,238.45 "
Justise Winslow,Thigh area,MIA,104.33," $17,119,504.60 ",2," $8,559,752.30 "," $15,600,497.30 "," $4,279,876.15 "
Bojan Bogdanovic,Unclassified,IND,43," $4,274,264.40 ",1," $4,274,264.40 "," $19,471,649.00 "," $4,274,264.40 "
Evan Fournier,Unclassified,NYK,18.5," $4,248,420.40 ",1," $4,248,420.40 "," $18,814,433.00 "," $4,248,420.40 "
Calvin Booth,Unclassified,WAS,66.71," $16,929,486.90 ",2," $8,464,743.50 "," $8,457,711.00 "," $4,232,371.75 "
Brandon Knight,Knee area,HOU,120.67," $16,913,738.10 ",2," $8,456,869.00 "," $16,733,601.30 "," $4,228,434.50 "
Kelly Olynyk,Unclassified,HOU,58," $4,224,901.80 ",1," $4,224,901.80 "," $13,857,678.00 "," $4,224,901.80 "
Kelly Oubre Jr.,Cranial area,WAS,41," $4,216,269.90 ",1," $4,216,269.90 "," $17,857,143.00 "," $4,216,269.90 "
Avery Bradley,Thoracolumbar area,DET,128," $4,215,597.60 ",1," $4,215,597.60 "," $9,876,543.00 "," $4,215,597.60 "
Joakim Noah,Shoulder area,CHI,180.67," $16,822,110.20 ",2," $8,411,055.10 "," $17,230,198.90 "," $4,205,527.55 "
Marco Belinelli,"Hand, Thumb & Fingers area",CHA & CHH,279," $4,203,972.60 ",1," $4,203,972.60 "," $8,016,878.00 "," $4,203,972.60 "
Doug McDermott,Knee area,DAL,193," $4,203,409.90 ",1," $4,203,409.90 "," $8,730,159.00 "," $4,203,409.90 "
Kevin Porter Jr.,Foot area,HOU,47," $4,184,686.90 ",1," $4,184,686.90 "," $16,340,206.00 "," $4,184,686.90 "
Baron Davis,Knee area,LAC,10.67," $4,183,604.40 ",1," $4,183,604.40 "," $18,055,556.00 "," $4,183,604.40 "
Chris Paul,Thigh area,HOU,58.25," $16,724,099.50 ",2," $8,362,049.80 "," $31,765,116.00 "," $4,181,024.90 "
Kyle O'Quinn,Unclassified,ORL,334," $4,178,784.20 ",1," $4,178,784.20 "," $5,120,482.00 "," $4,178,784.20 "
Corey Maggette,Calf area,CHA & CHH,51," $4,172,015.50 ",1," $4,172,015.50 "," $13,157,895.00 "," $4,172,015.50 "
Jae Crowder,"Hand, Thumb & Fingers area",BOS,96," $4,170,528.30 ",1," $4,170,528.30 "," $8,433,735.00 "," $4,170,528.30 "
Danilo Gallinari,"Hand, Thumb & Fingers area",LAC,99.33," $16,638,382.40 ",2," $8,319,191.20 "," $26,349,206.70 "," $4,159,595.60 "
Russell Westbrook,Unclassified,OKC & SEA,27," $16,632,084.50 ",2," $8,316,042.20 "," $35,032,467.50 "," $4,158,021.10 "
