PLAYER_NAME,Anatomical sub-areas,TEAM_ABBREVIATION (groups),Average of recovery_time, Sum of team_losses ,Count of SEASON_ID, Avg Cost per Season , Average of salaries INF ,Avg Cost per Seasons
Malcolm Brogdon,Neck,MIL,105," $15,239,529.50 ",1," $15,239,529.50 "," $25,297,619.00 "," $15,239,529.50 "
Lauri Markkanen,Ankle area,CHI,159," $14,819,837.10 ",1," $14,819,837.10 "," $18,960,674.00 "," $14,819,837.10 "
Rajon Rondo,Ankle area,SAC,47.67," $14,695,893.80 ",1," $14,695,893.80 "," $17,721,519.00 "," $14,695,893.80 "
Ray Allen,Unclassified,MIL,330," $14,454,310.20 ",1," $14,454,310.20 "," $18,769,029.70 "," $14,454,310.20 "
Jonas Valanciunas,Foot area,TOR,393," $14,414,802.20 ",1," $14,414,802.20 "," $17,857,143.00 "," $14,414,802.20 "
Allen Iverson,Unclassified,DEN,58," $14,396,014.30 ",1," $14,396,014.30 "," $24,751,042.10 "," $14,396,014.30 "
Greg Monroe,Unclassified,MIL,300," $14,384,797.10 ",1," $14,384,797.10 "," $21,337,449.00 "," $14,384,797.10 "
Shaquille O'Neal,Shoulder area,PHX,104," $14,371,945.90 ",1," $14,371,945.90 "," $28,169,014.00 "," $14,371,945.90 "
Derrick Rose,Ankle area,NYK,169," $14,140,860.60 ",1," $14,140,860.60 "," $16,104,869.00 "," $14,140,860.60 "
Latrell Sprewell,Foot area,NYK,-1," $14,006,515.70 ",1," $14,006,515.70 "," $19,802,315.30 "," $14,006,515.70 "
David Lee,Unclassified,NYK,103," $13,957,619.60 ",1," $13,957,619.60 "," $18,018,018.00 "," $13,957,619.60 "
Alec Burks,Shoulder area,UTA,185," $13,789,868.20 ",1," $13,789,868.20 "," $13,461,538.00 "," $13,789,868.20 "
John Wall,Abdominal area,LAC,-1," $13,732,077.20 ",1," $13,732,077.20 "," $27,783,505.00 "," $13,732,077.20 "
Theo Ratliff,Hip area,ATL,96.75," $13,563,620.20 ",1," $13,563,620.20 "," $11,585,592.30 "," $13,563,620.20 "
Calvin Booth,Ankle area,OKC & SEA,146," $13,363,720.50 ",1," $13,363,720.50 "," $9,770,115.00 "," $13,363,720.50 "
Jrue Holiday,Elbow area,NOH & NOK & NOP,98," $13,333,333.30 ",1," $13,333,333.30 "," $30,000,000.00 "," $13,333,333.30 "
Dikembe Mutombo,Wrist area,BKN & NJN,61," $13,245,638.40 ",1," $13,245,638.40 "," $22,899,239.30 "," $13,245,638.40 "
Enes Freedom,Thoracolumbar area,NYK,144," $13,173,742.70 ",1," $13,173,742.70 "," $21,604,938.00 "," $13,173,742.70 "
David Lee,Abdominal area,GSW,140," $13,104,013.10 ",1," $13,104,013.10 "," $18,018,018.00 "," $13,104,013.10 "
CJ McCollum,Foot area,POR,58," $13,071,895.30 ",1," $13,071,895.30 "," $39,215,686.00 "," $13,071,895.30 "
Devin Booker,Ankle area,PHX,254," $13,000,293.80 ",1," $13,000,293.80 "," $38,072,289.00 "," $13,000,293.80 "
Kevin Love,Knee area,MIN,301," $12,997,432.50 ",1," $12,997,432.50 "," $19,736,842.00 "," $12,997,432.50 "
Brandon Roy,Knee area,MIN,4," $12,973,362.80 ",1," $12,973,362.80 "," $13,815,789.00 "," $12,973,362.80 "
Kemba Walker,Neck,CHA & CHH,40," $12,893,772.90 ",1," $12,893,772.90 "," $41,904,762.00 "," $12,893,772.90 "
Jordan Clarkson,Ankle area,CLE,274," $12,832,925.00 ",1," $12,832,925.00 "," $15,147,059.00 "," $12,832,925.00 "
Emeka Okafor,Unclassified,CHA & CHH,377," $12,804,878.30 ",1," $12,804,878.30 "," $16,666,667.00 "," $12,804,878.30 "
Myles Turner,Toes area,IND,224," $12,745,098.20 ",1," $12,745,098.20 "," $23,529,412.00 "," $12,745,098.20 "
Justise Winslow,Thoracolumbar area,MIA,96.5," $12,677,304.60 ",1," $12,677,304.60 "," $15,476,190.00 "," $12,677,304.60 "
Rashard Lewis,Neck,OKC & SEA,483," $12,660,381.50 ",1," $12,660,381.50 "," $17,899,160.00 "," $12,660,381.50 "
Andre Drummond,Toes area,CLE,206," $12,535,947.70 ",1," $12,535,947.70 "," $32,235,294.00 "," $12,535,947.70 "
Reggie Jackson,Thoracolumbar area,DET,88," $12,409,812.40 ",1," $12,409,812.40 "," $19,047,619.00 "," $12,409,812.40 "
Kawhi Leonard,Unclassified,TOR,16," $12,393,144.00 ",1," $12,393,144.00 "," $31,170,635.00 "," $12,393,144.00 "
Terrence Ross,Knee area,TOR,278," $12,392,427.20 ",1," $12,392,427.20 "," $16,071,429.00 "," $12,392,427.20 "
Chandler Parsons,Cranial area,MEM & VAN,-1," $12,367,906.20 ",1," $12,367,906.20 "," $28,214,286.00 "," $12,367,906.20 "
Kelly Oubre Jr.,Knee area,WAS,372," $12,152,777.90 ",1," $12,152,777.90 "," $17,857,143.00 "," $12,152,777.90 "
Caron Butler,Thigh area,LAL,154," $12,113,764.00 ",1," $12,113,764.00 "," $14,375,000.00 "," $12,113,764.00 "
Shaquille O'Neal,"Hand, Thumb & Fingers area",PHX,249," $12,072,434.60 ",1," $12,072,434.60 "," $28,169,014.00 "," $12,072,434.60 "
Jon Leuer,Ankle area,DET,353," $12,014,453.50 ",1," $12,014,453.50 "," $12,962,963.00 "," $12,014,453.50 "
